Time,mV,mA,mAh,cpu_load
13:02:21:067697,11132,-2141,2938,34.1
13:02:22:682946,11132,-2141,2938,35.7
13:02:24:325694,11132,-2145,2902,38.8
13:02:25:961267,11132,-2145,2902,33.9
13:02:27:595145,11132,-2145,2902,37.1
13:02:29:211799,11132,-2145,2902,34.3
13:02:30:862945,11132,-2145,2902,35.5
13:02:32:482069,11132,-2145,2902,36.2
13:02:34:099160,11132,-2145,2902,33.9
13:02:35:723709,11132,-2145,2902,33.6
13:02:37:339582,11132,-2145,2902,36.2
13:02:38:968479,11132,-2145,2902,33.4
13:02:40:592691,11132,-2145,2902,33.7
13:02:42:206863,11132,-2145,2902,33.1
13:02:43:902723,11132,-2145,2902,36.9
13:02:45:520230,11132,-2145,2902,33.5
13:02:47:163886,11132,-2145,2902,35.9
13:02:48:793752,11132,-2145,2902,33.7
13:02:50:417257,11132,-2145,2902,33.2
13:02:52:047466,11132,-2145,2902,34.0
13:02:53:665547,11132,-2145,2902,17.1
13:02:55:303870,11132,-2145,2902,18.4
13:02:56:922278,11132,-2145,2902,17.1
13:02:58:569071,11132,-2145,2902,18.3
13:03:00:187562,11132,-2145,2902,17.1
13:03:01:809048,11132,-2145,2902,12.4
13:03:03:439286,11132,-2145,2902,9.8
13:03:05:056961,11132,-2145,2902,8.8
13:03:06:668126,11132,-2145,2902,9.0
13:03:08:279587,11132,-2145,2902,9.1
13:03:09:895911,11132,-2145,2902,12.4
13:03:11:514534,11132,-2145,2902,9.1
